"id","institutionCode","collectionCode","catalogNumber","order","family","scientificName","genus","specificEpithet","taxonRank","infraspecificEpithet","year","month","day","reproductiveCondition","county","municipality","locality","localitySecurity","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","date","lastcollected"
42492,"University of Connecticut","CONN","CONN00000027","Poales","Typhaceae","Typha angustifolia","Typha","angustifolia","","",1893,6,20,"","Fairfield","Fairfield","Fairfield",0,41.17583,-73.2725,NA,1893-06-20,1893
42493,"University of Connecticut","CONN","CONN00000028","Poales","Typhaceae","Typha glauca","Typha","glauca","","",1893,6,20,"","Fairfield","Fairfield","Fairfield",0,41.17583,-73.2725,NA,1893-06-20,1893
42494,"University of Connecticut","CONN","CONN00000029","Poales","Typhaceae","Typha glauca","Typha","glauca","","",1908,6,21,"","Litchfield","Salisbury","Salisbury",0,41.985,-73.42277,NA,1908-06-21,1908
42495,"University of Connecticut","CONN","CONN00000030","Poales","Typhaceae","Typha glauca","Typha","glauca","","",1907,8,14,"","Litchfield","Salisbury","Salisbury",0,41.985,-73.42277,NA,1907-08-14,1908
42499,"University of Connecticut","CONN","CONN00000037","Poales","Typhaceae","Typha latifolia","Typha","latifolia","","",1894,7,5,"","Fairfield","Newtown, Botsford","Botsford",0,41.36638,-73.2575,20000,1894-07-05,1894
42505,"University of Connecticut","CONN","CONN00000043","Poales","Typhaceae","Typha latifolia","Typha","latifolia","","",1893,7,4,"","Fairfield","Monroe, Stepney","Stepney",0,41.30388,-73.25472,20000,1893-07-04,1894
42531,"University of Connecticut","CONN","CONN00000085","Poales","Typhaceae","Sparganium simplex","Sparganium","simplex","","",1893,7,25,"flowering/fruiting","Fairfield","Bridgeport","Bridgeport",0,41.18638,-73.19611,NA,1893-07-25,1895
42536,"University of Connecticut","CONN","CONN00000090","Poales","Typhaceae","Sparganium simplex","Sparganium","simplex","","",1899,7,0,"flowering/fruiting","Hartford","Hartford","South Meadows",0,41.73833,-72.66444,20000,NA,1899
42539,"University of Connecticut","CONN","CONN00000093","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1928,8,23,"flowering/fruiting","New London","Voluntown","Pachaug River, Voluntown",0,41.58777,-71.84166,20000,1928-08-23,1934
42541,"University of Connecticut","CONN","CONN00000095","Poales","Typhaceae","Sparganium eurycarpum","Sparganium","eurycarpum","","",1905,6,23,"flowering/fruiting","Hartford","South Windsor","South Windsor",0,41.83222,-72.57027,NA,1905-06-23,1912
42542,"University of Connecticut","CONN","CONN00000096","Poales","Typhaceae","Sparganium eurycarpum","Sparganium","eurycarpum","","",1905,7,23,"","Hartford","South Windsor","South Windsor",0,41.83222,-72.57027,NA,1905-07-23,1912
