"id","institutionCode","collectionCode","catalogNumber","order","family","scientificName","genus","specificEpithet","taxonRank","infraspecificEpithet","year","month","day","reproductiveCondition","county","municipality","locality","localitySecurity","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","date","lastcollected"
42531,"University of Connecticut","CONN","CONN00000085","Poales","Typhaceae","Sparganium simplex","Sparganium","simplex","","",1893,7,25,"flowering/fruiting","Fairfield","Bridgeport","Bridgeport",0,41.18638,-73.19611,NA,1893-07-25,1895
42536,"University of Connecticut","CONN","CONN00000090","Poales","Typhaceae","Sparganium simplex","Sparganium","simplex","","",1899,7,0,"flowering/fruiting","Hartford","Hartford","South Meadows",0,41.73833,-72.66444,20000,NA,1895
42539,"University of Connecticut","CONN","CONN00000093","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1928,8,23,"flowering/fruiting","New London","Voluntown","Pachaug River, Voluntown",0,41.58777,-71.84166,20000,1928-08-23,1934
42544,"University of Connecticut","CONN","CONN00000098","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1934,10,7,"flowering/fruiting","New London","New London","Connecticut College Arboretum",0,41.37861,-72.11027,5000,1934-10-07,1934
42574,"University of Connecticut","CONN","CONN00000158","Poales","Typhaceae","Sparganium lucidum","Sparganium","lucidum","","",1909,9,25,"fruiting","Hartford","Hartford","Connecticut River, Hartford",0,41.76555,-72.66555,20000,1909-09-25,1909
42576,"University of Connecticut","CONN","CONN00000161","Poales","Typhaceae","Sparganium lucidum","Sparganium","lucidum","","",1909,9,7,"fruiting","Hartford","Hartford","South Meadows",0,41.73833,-72.66444,20000,1909-09-07,1909
42577,"University of Connecticut","CONN","CONN00000162","Poales","Typhaceae","Sparganium lucidum","Sparganium","lucidum","","",1908,8,30,"fruiting","Hartford","Hartford","Connecticut River, Hartford",0,41.76555,-72.66555,20000,1908-08-30,1909
42578,"University of Connecticut","CONN","CONN00000163","Poales","Typhaceae","Sparganium lucidum","Sparganium","lucidum","","",1909,9,25,"fruiting","Hartford","Hartford","Hartford",0,41.76583,-72.68388,NA,1909-09-25,1909
42583,"University of Connecticut","CONN","CONN00000168","Poales","Typhaceae","Sparganium lucidum","Sparganium","lucidum","","",1907,9,22,"fruiting","Hartford","Hartford","South Meadows",0,41.73833,-72.66444,20000,1907-09-22,1909
42590,"University of Connecticut","CONN","CONN00000205","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1907,8,25,"flowering/fruiting","Litchfield","Salisbury","Salisbury",0,41.985,-73.42277,20000,1907-08-25,1934
42592,"University of Connecticut","CONN","CONN00000207","Poales","Typhaceae","Sparganium simplex","Sparganium","simplex","","",1895,9,2,"flowering/fruiting","Fairfield","Trumbull","Trumbull",0,41.25805,-73.2075,NA,1895-09-02,1895
42593,"University of Connecticut","CONN","CONN00000208","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1907,8,11,"flowering/fruiting","Litchfield","Cornwall","Housatonic River, Cornwall",0,41.85361,-73.37388,20000,1907-08-11,1934
42594,"University of Connecticut","CONN","CONN00000209","Poales","Typhaceae","Sparganium diversifolium","Sparganium","diversifolium","","",1910,8,1,"flowering/fruiting","Hartford","Suffield","Congamond Lake",0,42.025,-72.75694,20000,1910-08-01,1934
