"order","family","genus","scientificName","specimens","lastcollected"
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",288,2008
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",216,2011
"Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",170,2003
"Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",159,2007
"Alismatales","Hydrocharitaceae","Najas","Najas flexilis",155,2010
"Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",149,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",148,2013
"Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",141,2009
"Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",140,2005
"Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",138,2006
"Ranunculales","Berberidaceae","Berberis","Berberis thunbergii",132,2013
"Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",131,2007
"Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",131,2011
"Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",126,2008
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",123,2002
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",122,2009
"Solanales","Solanaceae","Solanum","Solanum dulcamara",122,2014
"Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",119,2011
"Rosales","Rosaceae","Rubus","Rubus allegheniensis",119,2003
"Ericales","Clethraceae","Clethra","Clethra alnifolia",117,2011
"Polypodiales","Dryopteridaceae","Athyrium","Athyrium filix-femina",116,2011
"Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",112,2004
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius",111,2007
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum",111,2014
"Asterales","Asteraceae","Aster","Aster divaricatus",110,2008
"Myrtales","Onagraceae","Ludwigia","Ludwigia palustris",108,2008
"Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",106,2007
"Asterales","Asteraceae","Solidago","Solidago rugosa",105,2013
"Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",104,2014
"Poales","Cyperaceae","Carex","Carex pensylvanica",104,1998
"Malpighiales","Violaceae","Viola","Viola blanda",103,2014
"Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum",103,2014
"Celastrales","Celastraceae","Euonymus","Euonymus alatus",101,2014
"Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus umbellata",101,2014
"","Ruscaceae","Maianthemum","Maianthemum racemosa",99,2008
"Gentianales","Apocynaceae","Asclepias","Asclepias incarnata",99,2007
"Malpighiales","Violaceae","Viola","Viola cucullata",99,2014
"Poales","Cyperaceae","Eleocharis","Eleocharis obtusa",98,2006
"Poales","Poaceae","Agrostis","Agrostis perennans",98,2002
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",97,2008
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton gramineus",96,2007
"Laurales","Lauraceae","Lindera","Lindera benzoin",96,2014
"Alismatales","Araceae","Arisaema","Arisaema triphyllum",94,2013
"Fabales","Polygalaceae","Polygala","Polygala sanguinea",94,2003
"Malpighiales","Violaceae","Viola","Viola fimbriatula",94,2002
"Poales","Cyperaceae","Scirpus","Scirpus cyperinus",94,2006
"Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis",94,2011
"Rosales","Rosaceae","Amelanchier","Amelanchier canadensis",94,2011
"Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",93,2010
"Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",93,2011
"Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",93,2014
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton crispus",92,2007
"Malpighiales","Violaceae","Viola","Viola pubescens",92,2014
"Poales","Cyperaceae","Carex","Carex rosea",92,1998
"Poales","Cyperaceae","Carex","Carex scoparia",92,1998
"Myrtales","Lythraceae","Lythrum","Lythrum salicaria",90,2013
"Poales","Cyperaceae","Carex","Carex laxiflora",90,2001
"Poales","Typhaceae","Sparganium","Sparganium americanum",90,2011
"Osmundales","Osmundaceae","Osmunda","Osmunda regalis",89,2011
"Poales","Poaceae","Agrostis","Agrostis alba",89,1992
"Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium",88,2011
"Poales","Poaceae","Panicum","Panicum lanuginosum",88,2001
"Ericales","Balsaminaceae","Impatiens","Impatiens capensis",87,2009
"Lamiales","Lamiaceae","Mentha","Mentha arvensis",87,2007
"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus abortivus",87,2014
"Asterales","Asteraceae","Achillea","Achillea millefolium",86,2012
"Cornales","Cornaceae","Cornus","Cornus amomum",86,2011
"Ericales","Ericaceae","Chimaphila","Chimaphila maculata",85,2011
"Lamiales","Phrymaceae","Mimulus","Mimulus ringens",85,2000
"Poales","Cyperaceae","Carex","Carex intumescens",85,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",84,2007
"Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum",84,2007
"Asterales","Campanulaceae","Lobelia","Lobelia inflata",84,2011
"Ericales","Ericaceae","Lyonia","Lyonia ligustrina",84,2014
"Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",84,2011
"Malpighiales","Violaceae","Viola","Viola conspersa",84,1998
"Rosales","Rosaceae","Spiraea","Spiraea tomentosa",84,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pulcher",83,2008
"Equisetales","Equisetaceae","Equisetum","Equisetum arvense",83,2014
"Lamiales","Lamiaceae","Prunella","Prunella vulgaris",83,2008
"Lamiales","Plantaginaceae","Gratiola","Gratiola aurea",83,2009
"Poales","Cyperaceae","Carex","Carex lurida",83,2011
"Poales","Poaceae","Panicum","Panicum virgatum",83,2011
"Polypodiales","Pteridaceae","Adiantum","Adiantum pedatum",83,2014
"Saxifragales","Haloragaceae","Proserpinaca","Proserpinaca palustris",83,2007
"Poales","Poaceae","Cinna","Cinna arundinacea",82,2004
"Polypodiales","Dryopteridaceae","Onoclea","Onoclea sensibilis",82,2012
"Alismatales","Hydrocharitaceae","Najas","Najas guadalupensis",81,2011
"Ericales","Myrsinaceae","Lysimachia","Lysimachia ciliata",81,2008
"Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",81,2006
"Poales","Juncaceae","Juncus","Juncus tenuis",81,2011
"Alismatales","Potamogetonaceae","Potamogeton","Potamogeton foliosus",80,2010
"Asparagales","Orchidaceae","Spiranthes","Spiranthes cernua",80,2000
"Asterales","Asteraceae","Solidago","Solidago juncea",80,1998
"Liliales","Melanthiaceae","Trillium","Trillium erectum",80,2014
"Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris tenuis",80,2005
