"county","order","family","genus","scientificName","specimens","lastcollected"
"Fairfield","Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",51,1989
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",50,2005
"Fairfield","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",32,2005
"Fairfield","Pinales","Pinaceae","Tsuga","Tsuga canadensis",31,1998
"Fairfield","Poales","Cyperaceae","Carex","Carex festucacea",30,1993
"Fairfield","Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",29,2000
"Fairfield","Polypodiales","Dryopteridaceae","Athyrium","Athyrium filix-femina",28,1991
"Fairfield","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",28,1990
"Fairfield","Poales","Cyperaceae","Carex","Carex umbellata",26,1932
"Fairfield","Malpighiales","Salicaceae","Salix","Salix discolor",25,1995
"Fairfield","Malpighiales","Violaceae","Viola","Viola brittoniana",25,1995
"Fairfield","Pinales","Pinaceae","Picea","Picea abies",25,1980
"Fairfield","Poales","Poaceae","Dichanthelium","Dichanthelium sphaerocarpon",24,1990
"Fairfield","Brassicales","Brassicaceae","Lepidium","Lepidium latifolium",23,2001
"Fairfield","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",23,1995
"Fairfield","Poales","Poaceae","Eragrostis","Eragrostis pectinacea",22,1993
"Fairfield","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus umbellata",22,1995
"Fairfield","Rosales","Rosaceae","Crataegus","Crataegus coccinea",21,1903
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton foliosus",20,2005
"Fairfield","Celastrales","Celastraceae","Euonymus","Euonymus alatus",20,2009
"Fairfield","Cupressales","Cupressaceae","Chamaecyparis","Chamaecyparis obtusa",20,1980
"Fairfield","Sapindales","Aceraceae","Acer","Acer saccharum",20,1995
"Fairfield","Alismatales","Hydrocharitaceae","Najas","Najas minor",19,2009
"Fairfield","Asterales","Asteraceae","Solidago","Solidago rugosa",19,1989
"Fairfield","Dipsacales","Adoxaceae","Viburnum","Viburnum lentago",19,1998
"Fairfield","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum",19,1993
"Fairfield","Lamiales","Lamiaceae","Mentha","Mentha arvensis",19,1997
"Fairfield","Myrtales","Onagraceae","Oenothera","Oenothera fruticosa",19,1941
"Fairfield","Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",19,1995
"Fairfield","Poales","Cyperaceae","Carex","Carex straminea",19,1941
"Fairfield","Rosales","Ulmaceae","Celtis","Celtis occidentalis",19,1999
"Fairfield","Solanales","Solanaceae","Solanum","Solanum dulcamara",19,1993
"Fairfield","Ericales","Ericaceae","Rhododendron","Rhododendron maximum",18,1981
"Fairfield","Osmundales","Osmundaceae","Osmunda","Osmunda regalis",18,2002
"Fairfield","Poales","Poaceae","Microstegium","Microstegium vimineum",18,2009
"Fairfield","Poales","Poaceae","Panicum","Panicum virgatum",18,1993
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton panormitanus",17,1936
"Fairfield","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium album",17,1998
"Fairfield","Malpighiales","Violaceae","Viola","Viola pubescens",17,1992
"Fairfield","Poales","Cyperaceae","Carex","Carex scoparia",17,1987
"Fairfield","Poales","Poaceae","Sporobolus","Sporobolus cryptandrus",17,1996
"Fairfield","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",17,1992
"Fairfield","Vitales","Vitaceae","Vitis","Vitis labrusca",17,1997
"Fairfield","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",16,2006
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius",16,2005
"Fairfield","Fabales","Polygalaceae","Polygala","Polygala verticillata",16,1942
"Fairfield","Laurales","Lauraceae","Sassafras","Sassafras albidum",16,1999
"Fairfield","Rosales","Cannabaceae","Humulus","Humulus japonicus",16,2004
"Fairfield","Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia",16,1999
"Fairfield","","Ruscaceae","Maianthemum","Maianthemum racemosa",15,1993
"Fairfield","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",15,2009
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton crispus",15,2005
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",15,2006
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton gramineus",15,2005
"Fairfield","Asparagales","Orchidaceae","Habenaria","Habenaria ciliaris",15,1941
"Fairfield","Asterales","Asteraceae","Aster","Aster divaricatus",15,1902
"Fairfield","Asterales","Asteraceae","Bidens","Bidens connata",15,1997
"Fairfield","Caryophyllales","Polygonaceae","Polygonum","Polygonum cespitosum",15,2000
"Fairfield","Gentianales","Gentianaceae","Sabatia","Sabatia stellaris",15,1994
"Fairfield","Liliales","Melanthiaceae","Trillium","Trillium erectum",15,1993
"Fairfield","Malpighiales","Salicaceae","Salix","Salix sericea",15,1989
"Fairfield","Poales","Poaceae","Agrostis","Agrostis hyemalis",15,1944
"Fairfield","Poales","Poaceae","Elymus","Elymus virginicus",15,1983
"Fairfield","Poales","Poaceae","Festuca","Festuca elatior",15,1992
"Fairfield","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus repens",15,2001
"Fairfield","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",14,1999
"Fairfield","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",14,1955
"Fairfield","Asterales","Asteraceae","Lactuca","Lactuca canadensis",14,1953
"Fairfield","Cupressales","Cupressaceae","Thuja","Thuja occidentalis",14,1990
"Fairfield","Dipsacales","Adoxaceae","Viburnum","Viburnum prunifolium",14,2007
"Fairfield","Fabales","Fabaceae","Galega","Galega officinalis",14,1942
"Fairfield","Malpighiales","Violaceae","Viola","Viola papilionacea",14,1985
"Fairfield","Malpighiales","Violaceae","Viola","Viola rotundifolia",14,1992
"Fairfield","Poales","Cyperaceae","Carex","Carex rosea",14,1997
"Fairfield","Poales","Poaceae","Agropyron","Agropyron repens",14,1983
"Fairfield","Ranunculales","Ranunculaceae","Cimicifuga","Cimicifuga racemosa",14,1989
"Fairfield","Alismatales","Araceae","Arisaema","Arisaema triphyllum",13,1983
"Fairfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",13,2000
"Fairfield","Asterales","Asteraceae","Aster","Aster novi-belgii",13,1941
"Fairfield","Asterales","Asteraceae","Sonchus","Sonchus arvensis",13,1941
"Fairfield","Celastrales","Celastraceae","Celastrus","Celastrus orbiculatus",13,2005
"Fairfield","Cupressales","Cupressaceae","Juniperus","Juniperus communis",13,1980
"Fairfield","Ericales","Clethraceae","Clethra","Clethra alnifolia",13,1998
"Fairfield","Ericales","Ericaceae","Kalmia","Kalmia latifolia",13,2000
"Fairfield","Gentianales","Gentianaceae","Bartonia","Bartonia virginica",13,1958
"Fairfield","Gentianales","Rubiaceae","Galium","Galium verum",13,1950
"Fairfield","Malpighiales","Salicaceae","Salix","Salix humilis",13,2001
"Fairfield","Malpighiales","Salicaceae","Salix","Salix nigra",13,1995
"Fairfield","Malpighiales","Violaceae","Viola","Viola fimbriatula",13,1995
"Fairfield","Malpighiales","Violaceae","Viola","Viola sagittata",13,1932
"Fairfield","Myrtales","Onagraceae","Ludwigia","Ludwigia palustris",13,2000
"Fairfield","Piperales","Saururaceae","Saururus","Saururus cernuus",13,2000
"Fairfield","Poales","Cyperaceae","Carex","Carex bebbii",13,1932
"Fairfield","Poales","Juncaceae","Juncus","Juncus tenuis",13,1999
