"county","order","family","genus","scientificName","specimens","lastcollected"
"Hartford","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",31,1998
"Hartford","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata",27,2003
"Hartford","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",26,1998
"Hartford","Asterales","Asteraceae","Solidago","Solidago juncea",25,1998
"Hartford","Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",25,1998
"Hartford","Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",25,1998
"Hartford","Rosales","Rosaceae","Amelanchier","Amelanchier canadensis",25,2003
"Hartford","Myrtales","Lythraceae","Lythrum","Lythrum salicaria",24,2002
"Hartford","Asterales","Asteraceae","Aster","Aster lanceolatus",23,1998
"Hartford","Malpighiales","Violaceae","Viola","Viola blanda",23,1983
"Hartford","Malpighiales","Violaceae","Viola","Viola pubescens",23,1995
"Hartford","Poales","Cyperaceae","Carex","Carex laxiflora",23,1998
"Hartford","Piperales","Aristolochiaceae","Asarum","Asarum canadense",22,1998
"Hartford","Polypodiales","Dryopteridaceae","Athyrium","Athyrium filix-femina",22,1998
"Hartford","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",22,1998
"Hartford","Solanales","Solanaceae","Solanum","Solanum dulcamara",22,2003
"Hartford","Vitales","Vitaceae","Vitis","Vitis novae-angliae",22,2004
"Hartford","","Ruscaceae","Maianthemum","Maianthemum racemosa",21,1998
"Hartford","Alismatales","Araceae","Arisaema","Arisaema triphyllum",21,1998
"Hartford","Asparagales","Orchidaceae","Isotria","Isotria verticillata",21,1982
"Hartford","Sapindales","Aceraceae","Acer","Acer pensylvanicum",21,1998
"Hartford","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum",20,1998
"Hartford","Asterales","Campanulaceae","Lobelia","Lobelia inflata",20,1998
"Hartford","Crossosomatales","Staphyleaceae","Staphylea","Staphylea trifolia",20,1986
"Hartford","Malpighiales","Violaceae","Viola","Viola conspersa",20,1998
"Hartford","Poales","Cyperaceae","Carex","Carex pensylvanica",20,1998
"Hartford","Poales","Cyperaceae","Cyperus","Cyperus strigosus",20,1998
"Hartford","Poales","Poaceae","Cinna","Cinna arundinacea",20,1998
"Hartford","Schizaeales","Schizaeaceae","Lygodium","Lygodium palmatum",20,1997
"Hartford","Celastrales","Celastraceae","Euonymus","Euonymus alatus",19,2005
"Hartford","Equisetales","Equisetaceae","Equisetum","Equisetum arvense",19,1998
"Hartford","Lamiales","Verbenaceae","Verbena","Verbena hastata",19,2003
"Hartford","Malpighiales","Violaceae","Viola","Viola fimbriatula",19,1993
"Hartford","Myrtales","Melastomataceae","Rhexia","Rhexia virginica",19,1991
"Hartford","Poales","Cyperaceae","Carex","Carex rosea",19,1990
"Hartford","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris goldiana",19,1999
"Hartford","Polypodiales","Dryopteridaceae","Onoclea","Onoclea sensibilis",19,1998
"Hartford","Polypodiales","Dryopteridaceae","Woodsia","Woodsia ilvensis",19,1991
"Hartford","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus abortivus",19,1998
"Hartford","Apiales","Apiaceae","Daucus","Daucus carota",18,1998
"Hartford","Asparagales","Orchidaceae","Goodyera","Goodyera pubescens",18,1998
"Hartford","Asterales","Asteraceae","Aster","Aster vimineus",18,1990
"Hartford","Caryophyllales","Phytolaccaceae","Phytolacca","Phytolacca americana",18,2002
"Hartford","Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium",18,2006
"Hartford","Malpighiales","Violaceae","Viola","Viola cucullata",18,1998
"Hartford","Poales","Cyperaceae","Carex","Carex lupulina",18,1993
"Hartford","Poales","Cyperaceae","Eleocharis","Eleocharis obtusa",18,1988
"Hartford","Rosales","Rosaceae","Prunus","Prunus pensylvanica",18,2004
"Hartford","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",17,2005
"Hartford","Asterales","Asteraceae","Aster","Aster leavis",17,1968
"Hartford","Fabales","Fabaceae","Crotalaria","Crotalaria sagittalis",17,1998
"Hartford","Lamiales","Lamiaceae","Mentha","Mentha arvensis",17,2003
"Hartford","Lamiales","Plantaginaceae","Chelone","Chelone glabra",17,2003
"Hartford","Lamiales","Plantaginaceae","Linaria","Linaria vulgaris",17,2001
"Hartford","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium obscurum",17,2002
"Hartford","Poales","Cyperaceae","Cyperus","Cyperus erythrorhizos",17,1983
"Hartford","Poales","Cyperaceae","Scirpus","Scirpus cyperinus",17,1998
"Hartford","Poales","Poaceae","Eragrostis","Eragrostis pectinacea",17,2007
"Hartford","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris cristata",17,1998
"Hartford","Rosales","Urticaceae","Boehmeria","Boehmeria cylindrica",17,1998
"Hartford","Sapindales","Aceraceae","Acer","Acer spicatum",17,1998
"Hartford","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",16,2008
"Hartford","Asparagales","Orchidaceae","Cypripedium","Cypripedium parviflorum",16,1954
"Hartford","Asterales","Asteraceae","Aster","Aster divaricatus",16,1998
"Hartford","Asterales","Asteraceae","Euthamia","Euthamia graminifolia",16,1998
"Hartford","Cornales","Cornaceae","Cornus","Cornus amomum",16,2003
"Hartford","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",16,2002
"Hartford","Ericales","Myrsinaceae","Lysimachia","Lysimachia ciliata",16,2002
"Hartford","Fabales","Fabaceae","Chamaecrista","Chamaecrista nictitans",16,1998
"Hartford","Fabales","Fabaceae","Vicia","Vicia cracca",16,2001
"Hartford","Fagales","Myricaceae","Comptonia","Comptonia peregrina",16,2003
"Hartford","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",16,2003
"Hartford","Lamiales","Lamiaceae","Prunella","Prunella vulgaris",16,1998
"Hartford","Laurales","Lauraceae","Lindera","Lindera benzoin",16,2002
"Hartford","Liliales","Melanthiaceae","Trillium","Trillium erectum",16,1991
"Hartford","Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",16,1998
"Hartford","Poales","Cyperaceae","Carex","Carex canescens",16,1998
"Hartford","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris intermedia",16,1998
"Hartford","Saxifragales","Saxifragaceae","Mitella","Mitella diphylla",16,1998
"Hartford","Asterales","Asteraceae","Achillea","Achillea millefolium",15,1998
"Hartford","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",15,1998
"Hartford","Asterales","Asteraceae","Aster","Aster novae-angliae",15,1998
"Hartford","Asterales","Asteraceae","Solidago","Solidago bicolor",15,1998
"Hartford","Asterales","Asteraceae","Solidago","Solidago rugosa",15,1998
"Hartford","Brassicales","Brassicaceae","Cardamine","Cardamine impatiens",15,2005
"Hartford","Dipsacales","Caprifoliaceae","Triosteum","Triosteum angustifolium",15,2004
"Hartford","Ericales","Ericaceae","Gaylussacia","Gaylussacia frondosa",15,2002
