"county","order","family","genus","scientificName","observations","lastcollected"
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius",47,2007
"Litchfield","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",40,2010
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",39,2007
"Litchfield","Poales","Cyperaceae","Carex","Carex flava",37,1998
"Litchfield","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",35,2007
"Litchfield","Equisetales","Equisetaceae","Equisetum","Equisetum variegatum",34,1998
"Litchfield","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",33,2007
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton gramineus",32,2007
"Litchfield","Apiales","Apiaceae","Heracleum","Heracleum mantegazzianum",32,2010
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton zosteriformis",31,2008
"Litchfield","Alismatales","Hydrocharitaceae","Najas","Najas guadalupensis",30,2010
"Litchfield","Saxifragales","Saxifragaceae","Mitella","Mitella diphylla",30,2000
"Litchfield","Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",29,2007
"Litchfield","Dipsacales","Adoxaceae","Viburnum","Viburnum alnifolium",29,2008
"Litchfield","Poales","Cyperaceae","Carex","Carex granularis",29,1998
"Litchfield","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",29,1998
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",28,2006
"Litchfield","Malpighiales","Salicaceae","Salix","Salix candida",28,2000
"Litchfield","Malpighiales","Salicaceae","Salix","Salix serissima",28,2004
"Litchfield","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",27,2002
"Litchfield","Asterales","Asteraceae","Eutrochium","Eutrochium maculatum",27,2006
"Litchfield","Malpighiales","Violaceae","Viola","Viola blanda",27,1998
"Litchfield","Poales","Cyperaceae","Carex","Carex rosea",27,1998
"Litchfield","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",26,2007
"Litchfield","Brassicales","Brassicaceae","Cardamine","Cardamine diphylla",26,1999
"Litchfield","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium annotinum",26,1998
"Litchfield","Poales","Cyperaceae","Carex","Carex eburnea",26,2003
"Litchfield","Saxifragales","Grossulariaceae","Ribes","Ribes cynosbati",26,1994
"Litchfield","Poales","Cyperaceae","Carex","Carex gracillima",25,1998
"Litchfield","Poales","Poaceae","Panicum","Panicum lanuginosum",25,1975
"Litchfield","Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum",25,2010
"Litchfield","Sapindales","Aceraceae","Acer","Acer pensylvanicum",25,2010
"Litchfield","Alismatales","Hydrocharitaceae","Elodea","Elodea canadensis",24,2007
"Litchfield","Dipsacales","Caprifoliaceae","Lonicera","Lonicera canadensis",24,2008
"Litchfield","Equisetales","Equisetaceae","Equisetum","Equisetum hyemale",24,1998
"Litchfield","Ericales","Ericaceae","Vaccinium","Vaccinium stamineum",24,1998
"Litchfield","Malpighiales","Violaceae","Viola","Viola cucullata",24,1998
"Litchfield","Poales","Cyperaceae","Carex","Carex deweyana",24,2001
"Litchfield","Polypodiales","Aspleniaceae","Asplenium","Asplenium ruta-muraria",24,1999
"Litchfield","Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris bulbifera",24,1998
"Litchfield","Saxifragales","Saxifragaceae","Mitella","Mitella nuda",24,2005
