"county","order","family","genus","scientificName","observations","lastcollected"
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",37,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",32,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",23,2006
"Middlesex","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",20,2005
"Middlesex","Fabales","Fabaceae","Amorpha","Amorpha fruticosa",18,2000
"Middlesex","Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",18,2007
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pulcher",16,2005
"Middlesex","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum",16,2007
"Middlesex","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",15,2009
"Middlesex","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",15,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton crispus",15,2005
"Middlesex","Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",15,2005
"Middlesex","Poales","Cyperaceae","Eleocharis","Eleocharis obtusa",15,2001
"Middlesex","Cornales","Cornaceae","Cornus","Cornus amomum",14,2001
"Middlesex","Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",14,2005
"Middlesex","Lamiales","Plantaginaceae","Gratiola","Gratiola aurea",14,2005
"Middlesex","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana",14,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",13,2006
"Middlesex","Asterales","Asteraceae","Polymnia","Polymnia canadensis",13,1985
"Middlesex","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",13,2004
"Middlesex","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",12,1999
"Middlesex","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",12,2014
"Middlesex","Equisetales","Equisetaceae","Equisetum","Equisetum fluviatile",12,1993
"Middlesex","Lamiales","Lentibulariaceae","Utricularia","Utricularia geminiscapa",12,2005
"Middlesex","Poales","Cyperaceae","Schoenoplectus","Schoenoplectus fluviatilis",12,1991
"Middlesex","Poales","Poaceae","Panicum","Panicum virgatum",12,1993
"Middlesex","Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris tenuis",12,1992
"Middlesex","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",12,2009
"Middlesex","Saxifragales","Haloragaceae","Proserpinaca","Proserpinaca palustris",12,2005
"Middlesex","Asterales","Menyanthaceae","Nymphoides","Nymphoides cordata",11,2005
"Middlesex","Ericales","Myrsinaceae","Lysimachia","Lysimachia terrestris",11,1993
"Middlesex","Poales","Cyperaceae","Carex","Carex lurida",11,1985
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",10,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton perfoliatus",10,2005
"Middlesex","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton vaseyi",10,2008
"Middlesex","Asparagales","Orchidaceae","Pogonia","Pogonia ophioglossoides",10,1991
"Middlesex","Crossosomatales","Staphyleaceae","Staphylea","Staphylea trifolia",10,1995
"Middlesex","Laurales","Lauraceae","Lindera","Lindera benzoin",10,1999
"Middlesex","Malpighiales","Violaceae","Viola","Viola lanceolata",10,1990
"Middlesex","Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",10,2005
"Middlesex","Asparagales","Orchidaceae","Isotria","Isotria verticillata",9,1940
"Middlesex","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis",9,1993
"Middlesex","Brassicales","Brassicaceae","Arabis","Arabis laevigata",9,1991
"Middlesex","Caryophyllales","Caryophyllaceae","Minuartia","Minuartia glabra",9,1989
"Middlesex","Ericales","Ericaceae","Vaccinium","Vaccinium macrocarpon",9,1992
"Middlesex","Fagales","Fagaceae","Quercus","Quercus ilicifolia",9,1990
"Middlesex","Lamiales","Lamiaceae","Monarda","Monarda fistulosa",9,1993
"Middlesex","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar advena",9,1993
"Middlesex","Poales","Poaceae","Poa","Poa compressa",9,2001
"Middlesex","Poales","Poaceae","Spartina","Spartina pectinata",9,1990
"Middlesex","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis",9,1993
"Middlesex","Selaginellales","Selaginellaceae","Selaginella","Selaginella rupestris",9,1991
"Middlesex","Alismatales","Alismataceae","Sagittaria","Sagittaria graminea",8,1999
"Middlesex","Alismatales","Alismataceae","Sagittaria","Sagittaria montevidensis",8,2000
"Middlesex","Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",8,2005
"Middlesex","Alismatales","Zannichelliaceae","Zannichellia","Zannichellia palustris",8,2009
"Middlesex","Asparagales","Iridaceae","Iris","Iris prismatica",8,1993
"Middlesex","Asterales","Asteraceae","Bidens","Bidens laevis",8,1990
"Middlesex","Asterales","Asteraceae","Hieracium","Hieracium paniculatum",8,1992
"Middlesex","Commelinales","Pontederiaceae","Pontederia","Pontederia cordata",8,2008
"Middlesex","Fabales","Fabaceae","Strophostyles","Strophostyles helvola",8,1990
