"county","order","family","genus","scientificName","specimens","lastcollected"
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",36,2005
"New Haven","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",30,2005
"New Haven","Poales","Cyperaceae","Carex","Carex pensylvanica",25,1996
"New Haven","Asterales","Asteraceae","Aster","Aster divaricatus",23,1995
"New Haven","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",23,2005
"New Haven","Brassicales","Brassicaceae","Arabis","Arabis laevigata",22,2000
"New Haven","Caryophyllales","Amaranthaceae","Froelichia","Froelichia gracilis",22,2005
"New Haven","Brassicales","Brassicaceae","Arabis","Arabis lyrata",21,2000
"New Haven","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum spicatum",21,2007
"New Haven","Myrtales","Onagraceae","Ludwigia","Ludwigia lacustris",20,2005
"New Haven","Poales","Poaceae","Sporobolus","Sporobolus heterolepis",20,1990
"New Haven","Rosales","Ulmaceae","Celtis","Celtis occidentalis",20,2001
"New Haven","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",19,2007
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton gramineus",19,2007
"New Haven","Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",19,1995
"New Haven","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus umbellata",19,2006
"New Haven","Poales","Cyperaceae","Carex","Carex laxiflora",18,2000
"New Haven","Poales","Poaceae","Danthonia","Danthonia spicata",18,2000
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton crispus",17,2005
"New Haven","Fabales","Polygalaceae","Polygala","Polygala polygama",17,1947
"New Haven","Poales","Poaceae","Agrostis","Agrostis alba",17,1957
"New Haven","Poales","Poaceae","Panicum","Panicum virgatum",17,1995
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton amplifolius",16,2005
"New Haven","Caryophyllales","Polygonaceae","Polygonum","Polygonum tenue",16,2001
"New Haven","Poales","Poaceae","Bromus","Bromus purgans",16,1957
"New Haven","Poales","Poaceae","Elymus","Elymus virginicus",16,1999
"New Haven","Poales","Poaceae","Poa","Poa compressa",16,1995
"New Haven","Polypodiales","Dryopteridaceae","Woodsia","Woodsia ilvensis",16,1995
"New Haven","Asterales","Asteraceae","Aster","Aster linariifolius",15,2001
"New Haven","Asterales","Asteraceae","Eupatorium","Eupatorium sessilifolium",15,1992
"New Haven","Asterales","Asteraceae","Solidago","Solidago rigida",15,1995
"New Haven","Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",15,2005
"New Haven","Poales","Poaceae","Agrostis","Agrostis perennans",15,1984
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium clandestinum",15,1992
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium depauperatum",15,2000
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium dichotomum",15,2012
"New Haven","Rosales","Rosaceae","Rubus","Rubus cuneifolius",15,2000
"New Haven","","Ruscaceae","Maianthemum","Maianthemum racemosa",14,2001
"New Haven","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",14,2005
"New Haven","Alismatales","Hydrocharitaceae","Najas","Najas minor",14,2009
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",14,2005
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton foliosus",14,2005
"New Haven","Asterales","Asteraceae","Eutrochium","Eutrochium purpureum",14,1994
"New Haven","Asterales","Asteraceae","Solidago","Solidago caesia",14,1995
"New Haven","Fabales","Fabaceae","Strophostyles","Strophostyles helvola",14,1999
"New Haven","Malpighiales","Violaceae","Viola","Viola palmata",14,1992
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium linearifolium",14,1995
"New Haven","Poales","Poaceae","Poa","Poa alsodes",14,1996
"New Haven","Polypodiales","Aspleniaceae","Asplenium","Asplenium platyneuron",14,2003
"New Haven","Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris tenuis",14,1996
"New Haven","Polypodiales","Dryopteridaceae","Woodsia","Woodsia obtusa",14,1998
"New Haven","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",13,1995
"New Haven","Asterales","Asteraceae","Solidago","Solidago sempervirens",13,1992
"New Haven","Boraginales","Boraginaceae","Myosotis","Myosotis laxa",13,1995
"New Haven","Dipsacales","Adoxaceae","Viburnum","Viburnum nudum",13,1936
"New Haven","Fagales","Fagaceae","Quercus","Quercus ilicifolia",13,2000
"New Haven","Lamiales","Lamiaceae","Monarda","Monarda fistulosa",13,1966
"New Haven","Malpighiales","Violaceae","Viola","Viola pedata",13,2005
"New Haven","Poales","Cyperaceae","Carex","Carex hirsutella",13,2000
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium lanuginosum",13,1995
"New Haven","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis",13,1995
"New Haven","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",13,1995
"New Haven","Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum",13,1995
"New Haven","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus abortivus",13,1996
"New Haven","","Ruscaceae","Polygonatum","Polygonatum biflorum",12,1995
"New Haven","Asterales","Asteraceae","Senecio","Senecio obovatus",12,1995
"New Haven","Caryophyllales","Amaranthaceae","Atriplex","Atriplex patula",12,1995
"New Haven","Caryophyllales","Amaranthaceae","Salicornia","Salicornia europaea",12,1990
"New Haven","Dipsacales","Caprifoliaceae","Triosteum","Triosteum aurantiacum",12,1995
"New Haven","Fagales","Fagaceae","Quercus","Quercus stellata",12,1996
"New Haven","Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum incanum",12,2001
"New Haven","Lamiales","Phrymaceae","Phryma","Phryma leptostachya",12,2008
"New Haven","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar variegata",12,2005
"New Haven","Poales","Cyperaceae","Carex","Carex communis",12,1995
"New Haven","Poales","Cyperaceae","Carex","Carex platyphylla",12,1996
"New Haven","Poales","Poaceae","Aristida","Aristida dichotoma",12,2006
"New Haven","Poales","Poaceae","Festuca","Festuca rubra",12,1957
"New Haven","Poales","Poaceae","Panicum","Panicum columbianum",12,1957
"New Haven","Poales","Poaceae","Panicum","Panicum lanuginosum",12,1957
"New Haven","Ranunculales","Papaveraceae","Corydalis","Corydalis sempervirens",12,1995
"New Haven","Alismatales","Hydrocharitaceae","Najas","Najas guadalupensis",11,2009
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",11,2005
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton perfoliatus",11,2007
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton robbinsii",11,2005
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton zosteriformis",11,2005
"New Haven","Apiales","Apiaceae","Sanicula","Sanicula canadensis",11,1995
"New Haven","Apiales","Apiaceae","Sanicula","Sanicula marilandica",11,1995
"New Haven","Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",11,1995
"New Haven","Asterales","Asteraceae","Helianthus","Helianthus giganteus",11,1995
"New Haven","Asterales","Asteraceae","Solidago","Solidago nemoralis",11,1995
"New Haven","Asterales","Asteraceae","Solidago","Solidago rugosa",11,1995
"New Haven","Asterales","Campanulaceae","Campanula","Campanula rotundifolia",11,1983
"New Haven","Brassicales","Brassicaceae","Cardamine","Cardamine parviflora",11,1995
"New Haven","Caryophyllales","Amaranthaceae","Chenopodium","Chenopodium album",11,2004
"New Haven","Caryophyllales","Caryophyllaceae","Moehringia","Moehringia macrophylla",11,1989
"New Haven","Caryophyllales","Caryophyllaceae","Silene","Silene antirrhina",11,1992
"New Haven","Ericales","Primulaceae","Hottonia","Hottonia inflata",11,2000
"New Haven","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata",11,1973
"New Haven","Gentianales","Apocynaceae","Cynanchum","Cynanchum nigrum",11,2004
"New Haven","Gentianales","Rubiaceae","Galium","Galium circaezans",11,1995
"New Haven","Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",11,2005
"New Haven","Malpighiales","Salicaceae","Populus","Populus heterophylla",11,2003
"New Haven","Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",11,2005
"New Haven","Poales","Cyperaceae","Carex","Carex rosea",11,1995
"New Haven","Poales","Cyperaceae","Carex","Carex squarrosa",11,2005
"New Haven","Poales","Cyperaceae","Cyperus","Cyperus filiculmis",11,1984
"New Haven","Poales","Cyperaceae","Schoenoplectus","Schoenoplectus maritimus",11,1943
"New Haven","Poales","Poaceae","Muhlenbergia","Muhlenbergia capillaris",11,1988
"New Haven","Poales","Poaceae","Oryzopsis","Oryzopsis racemosa",11,1997
"New Haven","Poales","Poaceae","Poa","Poa pratensis",11,1997
"New Haven","Poales","Poaceae","Sporobolus","Sporobolus clandestinus",11,1934
"New Haven","Ranunculales","Papaveraceae","Dicentra","Dicentra cucullaria",11,1996
"New Haven","Ranunculales","Ranunculaceae","Clematis","Clematis verticillaris",11,1983
"New Haven","Rosales","Rosaceae","Rubus","Rubus allegheniensis",11,1995
"New Haven","Rosales","Rosaceae","Rubus","Rubus occidentalis",11,1995
"New Haven","Saxifragales","Saxifragaceae","Heuchera","Heuchera americana",11,1995
"New Haven","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",10,1997
"New Haven","Alismatales","Hydrocharitaceae","Elodea","Elodea canadensis",10,2004
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",10,2005
"New Haven","Asterales","Asteraceae","Aster","Aster pilosus",10,1995
"New Haven","Asterales","Asteraceae","Aster","Aster undulatus",10,1992
"New Haven","Asterales","Asteraceae","Solidago","Solidago bicolor",10,1995
"New Haven","Asterales","Asteraceae","Solidago","Solidago canadensis",10,1995
"New Haven","Dioscoreales","Dioscoreaceae","Dioscorea","Dioscorea villosa",10,1991
"New Haven","Dipsacales","Caprifoliaceae","Lonicera","Lonicera dioica",10,1992
"New Haven","Fabales","Fabaceae","Desmodium","Desmodium nudiflorum",10,1942
"New Haven","Gentianales","Rubiaceae","Galium","Galium triflorum",10,1999
"New Haven","Lamiales","Orobanchaceae","Castilleja","Castilleja coccinea",10,1997
"New Haven","Laurales","Lauraceae","Lindera","Lindera benzoin",10,2001
"New Haven","Malvales","Malvaceae","Althaea","Althaea officinalis",10,1980
"New Haven","Myrtales","Onagraceae","Ludwigia","Ludwigia palustris",10,2005
"New Haven","Myrtales","Onagraceae","Ludwigia","Ludwigia sphaerocarpa",10,1993
"New Haven","Poales","Cyperaceae","Carex","Carex bicknellii",10,2003
"New Haven","Poales","Eriocaulaceae","Eriocaulon","Eriocaulon septangulare",10,1983
"New Haven","Poales","Poaceae","Agropyron","Agropyron repens",10,1982
"New Haven","Poales","Poaceae","Elymus","Elymus canadensis",10,1957
"New Haven","Poales","Poaceae","Phragmites","Phragmites australis",10,1995
"New Haven","Polypodiales","Dryopteridaceae","Athyrium","Athyrium filix-femina",10,1995
"New Haven","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",10,1995
"New Haven","Rosales","Rosaceae","Prunus","Prunus virginiana",10,1983
"New Haven","Rosales","Rosaceae","Rosa","Rosa multiflora",10,2006
"New Haven","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",10,2005
"New Haven","Selaginellales","Selaginellaceae","Selaginella","Selaginella rupestris",10,2005
"New Haven","","Alliaceae","Allium","Allium vineale",9,2000
"New Haven","","Hypnaceae","Homomallium","Homomallium adnatum",9,2000
"New Haven","Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",9,2007
"New Haven","Alismatales","Juncaginaceae","Triglochin","Triglochin maritima",9,1995
"New Haven","Apiales","Apiaceae","Osmorhiza","Osmorhiza longistylis",9,1979
"New Haven","Asterales","Asteraceae","Aster","Aster lateriflorus",9,1995
"New Haven","Asterales","Asteraceae","Aster","Aster patens",9,1998
"New Haven","Asterales","Asteraceae","Bidens","Bidens cernua",9,1999
"New Haven","Asterales","Asteraceae","Solidago","Solidago squarrosa",9,1990
"New Haven","Boraginales","Boraginaceae","Myosotis","Myosotis verna",9,1995
"New Haven","Caryophyllales","Phytolaccaceae","Phytolacca","Phytolacca americana",9,2001
"New Haven","Caryophyllales","Portulacaceae","Claytonia","Claytonia virginica",9,1996
"New Haven","Crossosomatales","Staphyleaceae","Staphylea","Staphylea trifolia",9,1996
"New Haven","Ericales","Ebenaceae","Diospyros","Diospyros virginiana",9,1948
"New Haven","Ericales","Ericaceae","Arctostaphylos","Arctostaphylos uva-ursi",9,1979
"New Haven","Ericales","Myrsinaceae","Lysimachia","Lysimachia ciliata",9,1993
"New Haven","Fabales","Fabaceae","Desmodium","Desmodium rotundifolium",9,1995
"New Haven","Fabales","Fabaceae","Trifolium","Trifolium procumbens",9,1902
"New Haven","Fabales","Polygalaceae","Polygala","Polygala verticillata",9,1983
"New Haven","Fagales","Fagaceae","Quercus","Quercus prinoides",9,2001
"New Haven","Gentianales","Apocynaceae","Vincetoxicum","Vincetoxicum rossicum",9,2004
"New Haven","Gentianales","Rubiaceae","Galium","Galium lanceolatum",9,1995
"New Haven","Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",9,2005
"New Haven","Lamiales","Plantaginaceae","Linaria","Linaria vulgaris",9,2001
"New Haven","Liliales","Smilacaceae","Smilax","Smilax rotundifolia",9,1995
"New Haven","Malpighiales","Violaceae","Viola","Viola sororia",9,1995
"New Haven","Myrtales","Lythraceae","Decodon","Decodon verticillatus",9,1981
"New Haven","Myrtales","Melastomataceae","Rhexia","Rhexia virginica",9,1997
"New Haven","Poales","Cyperaceae","Bulbostylis","Bulbostylis capillaris",9,2000
"New Haven","Poales","Cyperaceae","Carex","Carex cephalophora",9,1995
"New Haven","Poales","Cyperaceae","Carex","Carex umbellata",9,1931
"New Haven","Poales","Juncaceae","Juncus","Juncus tenuis",9,1999
"New Haven","Poales","Poaceae","Dactylis","Dactylis glomerata",9,1999
"New Haven","Poales","Poaceae","Dichanthelium","Dichanthelium sphaerocarpon",9,1957
"New Haven","Poales","Poaceae","Festuca","Festuca ovina",9,2005
"New Haven","Poales","Poaceae","Panicum","Panicum dichotomiflorum",9,1957
"New Haven","Poales","Poaceae","Poa","Poa palustris",9,1957
"New Haven","Poales","Poaceae","Spartina","Spartina patens",9,1990
"New Haven","Poales","Poaceae","Spartina","Spartina pectinata",9,1980
"New Haven","Poales","Poaceae","Sporobolus","Sporobolus asper",9,1998
"New Haven","Rosales","Rosaceae","Prunus","Prunus maritima",9,1990
"New Haven","Solanales","Solanaceae","Solanum","Solanum carolinense",9,1995
"New Haven","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton praelongus",8,2005
"New Haven","Alismatales","Zannichelliaceae","Zannichellia","Zannichellia palustris",8,2005
"New Haven","Asterales","Asteraceae","Aster","Aster cordifolius",8,1992
"New Haven","Asterales","Asteraceae","Aster","Aster lanceolatus",8,1992
"New Haven","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum",8,1995
"New Haven","Asterales","Asteraceae","Iva","Iva frutescens",8,1995
"New Haven","Asterales","Asteraceae","Krigia","Krigia virginica",8,1995
"New Haven","Asterales","Asteraceae","Lactuca","Lactuca canadensis",8,1995
"New Haven","Asterales","Asteraceae","Mikania","Mikania scandens",8,1997
"New Haven","Asterales","Asteraceae","Solidago","Solidago odora",8,1994
"New Haven","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana",8,1998
"New Haven","Brassicales","Brassicaceae","Cardamine","Cardamine diphylla",8,1995
"New Haven","Brassicales","Brassicaceae","Lepidium","Lepidium virginicum",8,1993
"New Haven","Brassicales","Limnanthaceae","Floerkea","Floerkea proserpinacoides",8,2005
"New Haven","Caryophyllales","Caryophyllaceae","Silene","Silene caroliniana",8,1995
"New Haven","Caryophyllales","Polygonaceae","Polygonum","Polygonum cespitosum",8,1996
"New Haven","Celastrales","Celastraceae","Celastrus","Celastrus orbiculatus",8,2006
"New Haven","Celastrales","Celastraceae","Euonymus","Euonymus alatus",8,2006
"New Haven","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum echinatum",8,2005
"New Haven","Commelinales","Pontederiaceae","Heteranthera","Heteranthera dubia",8,2007
"New Haven","Cornales","Cornaceae","Nyssa","Nyssa sylvatica",8,1994
"New Haven","Cupressales","Cupressaceae","Juniperus","Juniperus virginiana",8,1998
"New Haven","Ericales","Clethraceae","Clethra","Clethra alnifolia",8,1993
"New Haven","Ericales","Ericaceae","Gaylussacia","Gaylussacia frondosa",8,1979
"New Haven","Ericales","Myrsinaceae","Lysimachia","Lysimachia arvensis",8,1933
"New Haven","Fabales","Fabaceae","Amorpha","Amorpha fruticosa",8,1992
"New Haven","Fabales","Fabaceae","Desmodium","Desmodium paniculatum",8,1994
"New Haven","Fagales","Betulaceae","Betula","Betula lenta",8,1995
"New Haven","Fagales","Fagaceae","Quercus","Quercus prinus",8,1995
"New Haven","Gentianales","Rubiaceae","Diodia","Diodia teres",8,2005
"New Haven","Geraniales","Geraniaceae","Geranium","Geranium carolinianum",8,1995
"New Haven","Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum clinopodioides",8,1994
"New Haven","Lamiales","Plantaginaceae","Plantago","Plantago lanceolata",8,1995
"New Haven","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus",8,1999
"New Haven","Lamiales","Verbenaceae","Verbena","Verbena hastata",8,1995
"New Haven","Laurales","Lauraceae","Sassafras","Sassafras albidum",8,1995
"New Haven","Liliales","Liliaceae","Streptopus","Streptopus roseus",8,1989
"New Haven","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia lucidula",8,1995
"New Haven","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyparissias",8,1971
"New Haven","Malpighiales","Hypericaceae","Hypericum","Hypericum gentianoides",8,2000
"New Haven","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum",8,1996
"New Haven","Malpighiales","Violaceae","Viola","Viola cucullata",8,1995
"New Haven","Malvales","Malvaceae","Malva","Malva moschata",8,1993
"New Haven","Malvales","Malvaceae","Tilia","Tilia americana",8,1995
"New Haven","Piperales","Aristolochiaceae","Asarum","Asarum canadense",8,1986
"New Haven","Poales","Cyperaceae","Carex","Carex retroflexa",8,1995
"New Haven","Poales","Cyperaceae","Carex","Carex virescens",8,1995
"New Haven","Poales","Cyperaceae","Eleocharis","Eleocharis acicularis",8,2005
"New Haven","Poales","Juncaceae","Luzula","Luzula multiflora",8,2000
"New Haven","Poales","Poaceae","Aristida","Aristida purpurascens",8,1957
"New Haven","Poales","Poaceae","Bromus","Bromus tectorum",8,2005
"New Haven","Poales","Poaceae","Distichlis","Distichlis spicata",8,1992
"New Haven","Poales","Poaceae","Elymus","Elymus riparius",8,1984
