"county","order","family","genus","scientificName","specimens","lastcollected"
"New London","Rosales","Rosaceae","Rubus","Rubus allegheniensis",70,1997
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",52,2006
"New London","Rosales","Rosaceae","Rubus","Rubus ascendens",52,1939
"New London","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum heterophyllum",52,2007
"New London","Rosales","Rosaceae","Rubus","Rubus facetus",50,2012
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",48,2007
"New London","Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",46,2007
"New London","Rosales","Rosaceae","Rubus","Rubus enslenii",46,2012
"New London","Rosales","Rosaceae","Rubus","Rubus multispinus",45,1934
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",43,2007
"New London","Rosales","Rosaceae","Rubus","Rubus frondosus",41,1940
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pulcher",36,2007
"New London","Ericales","Clethraceae","Clethra","Clethra alnifolia",36,2008
"New London","Rosales","Rosaceae","Rubus","Rubus novanglicus",34,1939
"New London","Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",32,2005
"New London","Rosales","Rosaceae","Rubus","Rubus ostryifolius",32,1938
"New London","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",31,2006
"New London","Rosales","Rosaceae","Rubus","Rubus grimesii",31,1939
"New London","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",30,2007
"New London","Rosales","Rosaceae","Rubus","Rubus flagellaris",30,2006
"New London","Fabales","Polygalaceae","Polygala","Polygala sanguinea",29,2003
"New London","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",29,2005
"New London","Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",27,2007
"New London","Lamiales","Lentibulariaceae","Utricularia","Utricularia radiata",27,2006
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",26,2007
"New London","Asterales","Asteraceae","Aster","Aster pilosus",26,1988
"New London","Myrtales","Melastomataceae","Rhexia","Rhexia virginica",26,1993
"New London","Myrtales","Onagraceae","Ludwigia","Ludwigia palustris",25,2005
"New London","Poales","Eriocaulaceae","Eriocaulon","Eriocaulon septangulare",25,2006
"New London","Rosales","Rosaceae","Rubus","Rubus plicatifolius",25,1936
"New London","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",24,2000
"New London","Asterales","Asteraceae","Aster","Aster novi-belgii",24,1990
"New London","Lamiales","Lentibulariaceae","Utricularia","Utricularia intermedia",24,2007
"New London","Lamiales","Plantaginaceae","Gratiola","Gratiola aurea",24,2006
"New London","Nymphaeales","Cabombaceae","Cabomba","Cabomba caroliniana",24,2006
"New London","Poales","Cyperaceae","Eleocharis","Eleocharis obtusa",24,1990
"New London","Poales","Juncaceae","Juncus","Juncus tenuis",24,1985
"New London","Poales","Poaceae","Spartina","Spartina patens",24,2001
"New London","Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",23,2005
"New London","Alismatales","Zannichelliaceae","Zannichellia","Zannichellia palustris",22,1997
"New London","Caryophyllales","Amaranthaceae","Atriplex","Atriplex patula",22,2003
"New London","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",22,1990
"New London","Poales","Cyperaceae","Scirpus","Scirpus cyperinus",22,1994
"New London","Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",21,1990
"New London","Lamiales","Plantaginaceae","Callitriche","Callitriche heterophylla",21,2008
"New London","Malpighiales","Hypericaceae","Hypericum","Hypericum boreale",21,2006
"New London","Malpighiales","Hypericaceae","Hypericum","Hypericum canadense",21,2003
"New London","Asterales","Asteraceae","Aster","Aster undulatus",20,1992
"New London","Ericales","Primulaceae","Hottonia","Hottonia inflata",20,2005
"New London","Poales","Typhaceae","Sparganium","Sparganium americanum",20,1998
"New London","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",20,2007
"New London","Alismatales","Hydrocharitaceae","Vallisneria","Vallisneria americana",19,2010
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton natans",19,2004
"New London","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis",19,1988
"New London","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum demersum",19,2006
"New London","Commelinales","Pontederiaceae","Pontederia","Pontederia cordata",19,2000
"New London","Cornales","Cornaceae","Nyssa","Nyssa sylvatica",19,1997
"New London","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata",19,1995
"New London","Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",19,1993
"New London","Poales","Cyperaceae","Rhynchospora","Rhynchospora macrostachya",19,2004
"New London","Poales","Poaceae","Agrostis","Agrostis perennans",19,1992
"New London","Poales","Poaceae","Distichlis","Distichlis spicata",19,1994
"New London","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton robbinsii",18,2006
"New London","Fagales","Myricaceae","Myrica","Myrica pensylvanica",18,2005
"New London","Myrtales","Lythraceae","Lythrum","Lythrum salicaria",18,1989
"New London","Poales","Poaceae","Spartina","Spartina pectinata",18,1998
"New London","Saxifragales","Haloragaceae","Proserpinaca","Proserpinaca palustris",18,2007
"New London","Apiales","Apiaceae","Ptilimnium","Ptilimnium capillaceum",17,1995
"New London","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia",17,1978
"New London","Cupressales","Cupressaceae","Thuja","Thuja occidentalis",17,1932
"New London","Dioscoreales","Dioscoreaceae","Dioscorea","Dioscorea villosa",17,2003
"New London","Ericales","Ericaceae","Chimaphila","Chimaphila maculata",17,2006
"New London","Gentianales","Gentianaceae","Bartonia","Bartonia virginica",17,1992
"New London","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",17,2006
"New London","Lamiales","Orobanchaceae","Melampyrum","Melampyrum lineare",17,1997
"New London","Lamiales","Plantaginaceae","Nuttallanthus","Nuttallanthus canadensis",17,1996
"New London","Malpighiales","Elatinaceae","Elatine","Elatine minima",17,2009
"New London","Osmundales","Osmundaceae","Osmunda","Osmunda cinnamomea",17,2005
"New London","Poales","Cyperaceae","Bulbostylis","Bulbostylis capillaris",17,1995
"New London","Poales","Cyperaceae","Eleocharis","Eleocharis acicularis",17,2010
"New London","Poales","Juncaceae","Juncus","Juncus greenei",17,1994
"New London","Poales","Poaceae","Panicum","Panicum virgatum",17,2001
"New London","Asterales","Asteraceae","Euthamia","Euthamia tenuifolia",16,1995
"New London","Asterales","Asteraceae","Pluchea","Pluchea purpurascens",16,1990
"New London","Asterales","Campanulaceae","Lobelia","Lobelia dortmanna",16,2006
"New London","Celastrales","Celastraceae","Celastrus","Celastrus orbiculatus",16,2006
"New London","Ericales","Balsaminaceae","Impatiens","Impatiens capensis",16,2008
"New London","Ericales","Myrsinaceae","Lysimachia","Lysimachia terrestris",16,1987
"New London","Fabales","Polygalaceae","Polygala","Polygala polygama",16,1990
"New London","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar variegata",16,2005
"New London","Poales","Cyperaceae","Carex","Carex bullata",16,1974
"New London","Poales","Cyperaceae","Cladium","Cladium mariscoides",16,2002
"New London","Poales","Juncaceae","Juncus","Juncus effusus",16,1990
"New London","Poales","Poaceae","Spartina","Spartina alterniflora",16,1994
"New London","Poales","Xyridaceae","Xyris","Xyris smalliana",16,2005
"New London","Rosales","Rosaceae","Rubus","Rubus honorus",16,1938
"New London","Rosales","Rosaceae","Rubus","Rubus insons",16,1938
"New London","Rosales","Rosaceae","Spiraea","Spiraea tomentosa",16,1995
"New London","Asterales","Asteraceae","Mikania","Mikania scandens",15,2000
"New London","Asterales","Menyanthaceae","Nymphoides","Nymphoides cordata",15,2005
"New London","Caryophyllales","Polygonaceae","Persicaria","Persicaria hydropiperoides",15,1995
"New London","Ericales","Ericaceae","Leucothoe","Leucothoe racemosa",15,2001
"New London","Ericales","Ericaceae","Vaccinium","Vaccinium macrocarpon",15,2001
"New London","Fabales","Fabaceae","Baptisia","Baptisia tinctoria",15,2005
"New London","Lamiales","Lamiaceae","Trichostema","Trichostema dichotomum",15,2006
"New London","Malpighiales","Hypericaceae","Hypericum","Hypericum gentianoides",15,1995
"New London","Poales","Cyperaceae","Carex","Carex scoparia",15,1996
"New London","Poales","Cyperaceae","Cyperus","Cyperus rivularis",15,1984
"New London","Poales","Juncaceae","Juncus","Juncus gerardii",15,2011
