"county","order","family","genus","scientificName","specimens","lastcollected"
"Tolland","Ranunculales","Berberidaceae","Berberis","Berberis thunbergii",66,2012
"Tolland","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",41,2003
"Tolland","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",40,2007
"Tolland","Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",40,2011
"Tolland","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",39,2011
"Tolland","Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",35,2007
"Tolland","Asterales","Asteraceae","Achillea","Achillea millefolium",34,2012
"Tolland","Ericales","Balsaminaceae","Impatiens","Impatiens capensis",34,2007
"Tolland","Fagales","Betulaceae","Carpinus","Carpinus caroliniana",33,2011
"Tolland","Rosales","Rosaceae","Spiraea","Spiraea tomentosa",33,2011
"Tolland","Ericales","Clethraceae","Clethra","Clethra alnifolia",32,2011
"Tolland","Rosales","Elaeagnaceae","Elaeagnus","Elaeagnus umbellata",32,2014
"Tolland","Poales","Cyperaceae","Carex","Carex intumescens",31,2011
"Tolland","Caryophyllales","Phytolaccaceae","Phytolacca","Phytolacca americana",30,2010
"Tolland","Laurales","Lauraceae","Lindera","Lindera benzoin",30,2011
"Tolland","Solanales","Solanaceae","Solanum","Solanum dulcamara",30,2014
"Tolland","Rosales","Rosaceae","Amelanchier","Amelanchier canadensis",29,2011
"Tolland","Alismatales","Araceae","Arisaema","Arisaema triphyllum",28,2010
"Tolland","Asterales","Asteraceae","Solidago","Solidago rugosa",28,2013
"Tolland","Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium",28,2011
"Tolland","Fagales","Myricaceae","Comptonia","Comptonia peregrina",28,2012
"Tolland","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",27,2013
"Tolland","Ericales","Ericaceae","Lyonia","Lyonia ligustrina",27,2014
"Tolland","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",27,2011
"Tolland","Apiales","Apiaceae","Daucus","Daucus carota",26,2010
"Tolland","Celastrales","Celastraceae","Euonymus","Euonymus alatus",25,2014
"Tolland","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides",25,2011
"Tolland","Asterales","Asteraceae","Aster","Aster divaricatus",24,2008
"Tolland","Asterales","Campanulaceae","Lobelia","Lobelia inflata",24,2011
"Tolland","Dipsacales","Adoxaceae","Sambucus","Sambucus canadensis",24,2009
"Tolland","Dipsacales","Caprifoliaceae","Lonicera","Lonicera morrowii",24,2014
"Tolland","Ericales","Ericaceae","Chimaphila","Chimaphila maculata",24,2011
"Tolland","Ericales","Sarraceniaceae","Sarracenia","Sarracenia purpurea",24,2011
"Tolland","Liliales","Melanthiaceae","Trillium","Trillium erectum",24,2010
"Tolland","Malpighiales","Violaceae","Viola","Viola fimbriatula",24,2002
"Tolland","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata",24,2005
"Tolland","Poales","Poaceae","Agrostis","Agrostis alba",24,1977
"Tolland","","Ruscaceae","Maianthemum","Maianthemum racemosa",23,2008
"Tolland","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum digitatum",23,2002
"Tolland","Polypodiales","Dryopteridaceae","Onoclea","Onoclea sensibilis",23,2012
"Tolland","Ranunculales","Ranunculaceae","Caltha","Caltha palustris",23,2011
"Tolland","Rosales","Rosaceae","Spiraea","Spiraea latifolia",23,1991
"Tolland","","Ruscaceae","Maianthemum","Maianthemum canadense",22,2011
"Tolland","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",22,2009
"Tolland","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum",22,2007
"Tolland","Asterales","Asteraceae","Solidago","Solidago juncea",22,1997
"Tolland","Ericales","Myrsinaceae","Lysimachia","Lysimachia ciliata",22,2008
"Tolland","Fabales","Polygalaceae","Polygala","Polygala sanguinea",22,1993
"Tolland","Malpighiales","Hypericaceae","Hypericum","Hypericum gentianoides",22,2006
"Tolland","Malpighiales","Violaceae","Viola","Viola cucullata",22,2010
"Tolland","Poales","Cyperaceae","Scirpus","Scirpus cyperinus",22,2003
"Tolland","Poales","Poaceae","Phleum","Phleum pratense",22,2011
"Tolland","Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia punctilobula",22,1997
"Tolland","Rosales","Rosaceae","Potentilla","Potentilla recta",22,2011
"Tolland","Alismatales","Hydrocharitaceae","Elodea","Elodea nuttallii",21,2008
"Tolland","Asparagales","Orchidaceae","Spiranthes","Spiranthes cernua",21,2000
"Tolland","Asterales","Asteraceae","Aster","Aster novi-belgii",21,2000
"Tolland","Boraginales","Boraginaceae","Myosotis","Myosotis scorpioides",21,2012
"Tolland","Commelinales","Pontederiaceae","Pontederia","Pontederia cordata",21,2003
"Tolland","Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",21,2011
"Tolland","Gentianales","Rubiaceae","Mitchella","Mitchella repens",21,2014
"Tolland","Lamiales","Lamiaceae","Prunella","Prunella vulgaris",21,2008
"Tolland","Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",21,2008
"Tolland","Lamiales","Plantaginaceae","Chelone","Chelone glabra",21,2008
"Tolland","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia lucidula",21,2011
"Tolland","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum",21,2014
"Tolland","Osmundales","Osmundaceae","Osmunda","Osmunda regalis",21,2011
"Tolland","Poales","Cyperaceae","Carex","Carex scoparia",21,1996
"Tolland","Poales","Typhaceae","Sparganium","Sparganium americanum",21,2011
"Tolland","Sapindales","Aceraceae","Acer","Acer rubrum",21,2013
"Tolland","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana",21,2011
"Tolland","Asterales","Asteraceae","Erigeron","Erigeron pulchellus",20,2014
"Tolland","Ericales","Ericaceae","Kalmia","Kalmia latifolia",20,2014
"Tolland","Fabales","Fabaceae","Vicia","Vicia cracca",20,2014
"Tolland","Fagales","Betulaceae","Corylus","Corylus americana",20,2008
"Tolland","Lamiales","Phrymaceae","Mimulus","Mimulus ringens",20,2000
"Tolland","Lamiales","Plantaginaceae","Nuttallanthus","Nuttallanthus canadensis",20,2006
"Tolland","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyparissias",20,2011
"Tolland","Asparagales","Orchidaceae","Isotria","Isotria verticillata",19,1996
"Tolland","Asterales","Asteraceae","Eutrochium","Eutrochium dubium",19,2008
"Tolland","Asterales","Asteraceae","Solidago","Solidago nemoralis",19,2008
"Tolland","Asterales","Campanulaceae","Lobelia","Lobelia spicata",19,2011
"Tolland","Equisetales","Equisetaceae","Equisetum","Equisetum arvense",19,2014
"Tolland","Fabales","Fabaceae","Trifolium","Trifolium arvense",19,2001
"Tolland","Fagales","Betulaceae","Betula","Betula populifolia",19,2008
"Tolland","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",19,2011
"Tolland","Lamiales","Oleaceae","Fraxinus","Fraxinus americana",19,2011
"Tolland","Lamiales","Plantaginaceae","Linaria","Linaria vulgaris",19,2012
"Tolland","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium obscurum",19,2012
"Tolland","Malpighiales","Violaceae","Viola","Viola blanda",19,2011
"Tolland","Poales","Juncaceae","Juncus","Juncus effusus",19,2011
"Tolland","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",19,2014
"Tolland","Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta",18,2011
"Tolland","Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea",18,1997
"Tolland","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis",18,1999
"Tolland","Caryophyllales","Droseraceae","Drosera","Drosera rotundifolia",18,2014
"Tolland","Caryophyllales","Polygonaceae","Rumex","Rumex acetosella",18,2011
"Tolland","Cupressales","Cupressaceae","Juniperus","Juniperus communis",18,2008
"Tolland","Fabales","Fabaceae","Trifolium","Trifolium pratense",18,2012
