"county","order","family","genus","scientificName","specimens","lastcollected"
"Windham","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton epihydrus",29,2008
"Windham","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton pusillus",21,2007
"Windham","Lamiales","Lentibulariaceae","Utricularia","Utricularia purpurea",21,2005
"Windham","Rosales","Rosaceae","Rubus","Rubus plicatifolius",20,1935
"Windham","Rosales","Rosaceae","Rubus","Rubus frondosus",17,1935
"Windham","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton bicupulatus",16,2007
"Windham","Aquifoliales","Aquifoliaceae","Ilex","Ilex verticillata",16,2002
"Windham","Lamiales","Lentibulariaceae","Utricularia","Utricularia vulgaris",15,2005
"Windham","Asterales","Menyanthaceae","Nymphoides","Nymphoides cordata",14,2008
"Windham","Ericales","Ericaceae","Rhododendron","Rhododendron viscosum",14,2011
"Windham","Alismatales","Hydrocharitaceae","Najas","Najas flexilis",13,2005
"Windham","Ericales","Clethraceae","Clethra","Clethra alnifolia",13,1992
"Windham","Lamiales","Lentibulariaceae","Utricularia","Utricularia gibba",13,2005
"Windham","Malvales","Malvaceae","Tilia","Tilia americana",13,2002
"Windham","Poales","Cyperaceae","Dulichium","Dulichium arundinaceum",13,1997
"Windham","Poales","Typhaceae","Sparganium","Sparganium americanum",13,1999
"Windham","Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum",13,2014
"Windham","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum humile",13,2007
"Windham","Ceratophyllales","Ceratophyllaceae","Ceratophyllum","Ceratophyllum echinatum",12,2005
"Windham","Lamiales","Plantaginaceae","Gratiola","Gratiola aurea",12,2005
"Windham","Poales","Poaceae","Panicum","Panicum lanuginosum",12,1998
"Windham","Polypodiales","Pteridaceae","Adiantum","Adiantum pedatum",12,2014
"Windham","Sapindales","Aceraceae","Acer","Acer pensylvanicum",12,2014
"Windham","Schizaeales","Schizaeaceae","Lygodium","Lygodium palmatum",12,2013
"Windham","","Ruscaceae","Uvularia","Uvularia perfoliata",11,2014
"Windham","Asterales","Asteraceae","Senecio","Senecio aureus",11,1993
"Windham","Ericales","Ericaceae","Lyonia","Lyonia ligustrina",11,2002
"Windham","Malpighiales","Clusiaceae","Triadenum","Triadenum virginicum",11,1997
"Windham","Nymphaeales","Cabombaceae","Brasenia","Brasenia schreberi",11,2005
"Windham","Ophioglossales","Ophioglossaceae","Botrychium","Botrychium dissectum",11,1991
"Windham","Polypodiales","Dryopteridaceae","Cystopteris","Cystopteris tenuis",11,1998
"Windham","Alismatales","Alismataceae","Sagittaria","Sagittaria latifolia",10,1976
"Windham","Alismatales","Potamogetonaceae","Potamogeton","Potamogeton spirillus",10,2002
"Windham","Asparagales","Hypoxidaceae","Hypoxis","Hypoxis hirsuta",10,2011
"Windham","Brassicales","Brassicaceae","Cardamine","Cardamine pensylvanica",10,2014
"Windham","Ericales","Myrsinaceae","Lysimachia","Lysimachia terrestris",10,2004
"Windham","Fabales","Polygalaceae","Polygala","Polygala sanguinea",10,1997
"Windham","Gentianales","Rubiaceae","Cephalanthus","Cephalanthus occidentalis",10,2002
"Windham","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium clavatum",10,1993
"Windham","Malpighiales","Violaceae","Viola","Viola blanda",10,2014
"Windham","Malpighiales","Violaceae","Viola","Viola pubescens",10,2014
"Windham","Poales","Cyperaceae","Carex","Carex vestita",10,1996
"Windham","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris marginalis",10,1991
"Windham","Rosales","Rosaceae","Rubus","Rubus enslenii",10,1997
"Windham","Solanales","Solanaceae","Solanum","Solanum dulcamara",10,1990
"Windham","","Ruscaceae","Uvularia","Uvularia sessilifolia",9,1992
"Windham","Asterales","Campanulaceae","Lobelia","Lobelia dortmanna",9,2005
"Windham","Commelinales","Pontederiaceae","Pontederia","Pontederia cordata",9,1990
"Windham","Ericales","Ericaceae","Vaccinium","Vaccinium macrocarpon",9,1994
"Windham","Fagales","Fagaceae","Quercus","Quercus ilicifolia",9,2010
"Windham","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata",9,1990
"Windham","Lamiales","Lentibulariaceae","Utricularia","Utricularia radiata",9,2005
"Windham","Lycopodiales","Lycopodiaceae","Lycopodium","Lycopodium obscurum",9,1992
"Windham","Malpighiales","Podostemaceae","Podostemum","Podostemum ceratophyllum",9,2004
"Windham","Polypodiales","Dryopteridaceae","Dryopteris","Dryopteris carthusiana",9,1998
"Windham","Rosales","Rhamnaceae","Ceanothus","Ceanothus americanus",9,1991
"Windham","Saxifragales","Haloragaceae","Proserpinaca","Proserpinaca palustris",9,2001
"Windham","Asterales","Campanulaceae","Lobelia","Lobelia cardinalis",8,1991
"Windham","Caryophyllales","Caryophyllaceae","Moehringia","Moehringia lateriflora",8,1995
"Windham","Caryophyllales","Polygonaceae","Persicaria","Persicaria hydropiperoides",8,1994
"Windham","Dipsacales","Dipsacaceae","Knautia","Knautia arvensis",8,2013
"Windham","Ericales","Ericaceae","Vaccinium","Vaccinium corymbosum",8,1997
"Windham","Fabales","Fabaceae","Lupinus","Lupinus perennis",8,1990
"Windham","Fagales","Fagaceae","Castanea","Castanea dentata",8,1991
"Windham","Lamiales","Lamiaceae","Scutellaria","Scutellaria lateriflora",8,1991
"Windham","Lamiales","Lentibulariaceae","Utricularia","Utricularia minor",8,2004
"Windham","Malpighiales","Hypericaceae","Hypericum","Hypericum perforatum",8,1991
"Windham","Malpighiales","Violaceae","Viola","Viola fimbriatula",8,1994
"Windham","Myrtales","Onagraceae","Circaea","Circaea quadrisulcata",8,1987
"Windham","Osmundales","Osmundaceae","Osmunda","Osmunda regalis",8,1990
"Windham","Poales","Eriocaulaceae","Eriocaulon","Eriocaulon septangulare",8,1993
"Windham","Poales","Poaceae","Digitaria","Digitaria sanguinalis",8,1999
"Windham","Poales","Poaceae","Glyceria","Glyceria striata",8,2000
"Windham","Ranunculales","Ranunculaceae","Anemone","Anemone quinquefolia",8,2010
"Windham","Rosales","Rosaceae","Rubus","Rubus bigelovianus",8,1935
"Windham","Rosales","Rosaceae","Spiraea","Spiraea latifolia",8,1991
"Windham","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum tenellum",8,2005
"Windham","Apiales","Apiaceae","Zizia","Zizia aurea",7,2011
"Windham","Apiales","Araliaceae","Aralia","Aralia nudicaulis",7,1997
"Windham","Asterales","Campanulaceae","Campanula","Campanula aparinoides",7,1984
"Windham","Brassicales","Brassicaceae","Berteroa","Berteroa incana",7,1987
"Windham","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus armeria",7,2011
"Windham","Celastrales","Celastraceae","Euonymus","Euonymus alatus",7,2009
"Windham","Cupressales","Cupressaceae","Chamaecyparis","Chamaecyparis thyoides",7,2009
"Windham","Dipsacales","Adoxaceae","Viburnum","Viburnum alnifolium",7,1994
